  Visual & Feel — Polish notes,,,,,
"  Open canvas. Add ideas as they come — colors, typography, spacing, motion, photography, micro-interactions.",,,,,
,,,,,
Area,Idea / Observation,Reference / Inspiration,Priority,Status,Notes
Typography,,,,Idea,
Color palette,,,,Idea,
Hero imagery,Portfolio-led — pick 3 hero candidates from current projects,,P1,Idea,Required by S-001
Motion / micro-interactions,,,,Idea,
AI Studio aesthetic,"Should feel premium tool, not chatbot",,P1,Idea,
Mobile spacing,Audit padding and touch targets,,P2,Idea,
Photography style,,,,Idea,
Iconography,,,,Idea,
Empty states,Each page that can be empty needs a designed state,,P2,Idea,
Loading states,AI Vision/Shopping have these — audit for consistency,,P2,Idea,
