  Roadmap by Phase,,,,,,
"  Derived view of the Backlog. Open items only, regenerated 2026-09-06.",,,,,,
,,,,,,
Phase 1 — Free Tier Polish (now)   ·   20 open,,,,,,
ID,Title,Status,Strategy fit,Priority,Effort,Why
A-002,Isolate 5 swap surfaces as small components,Idea,Foundation,P0,M,"Future Option-2 pivot becomes a focused day, not a rebuild."
S-002,Confirm header nav order: Portfolio · Services · Studio · AI Studio · Pricing,Approved,Option 3,P0,S,Reinforces Option 3 hierarchy at the chrome level.
S-013,Home page narrative restructure (umbrella),Approved,Option 3,P0,XL,"Biggest visible UX win for Option 3. Answers visitor questions in 5 seconds: what is this · who's it for · what can I do · how do I start. Encapsulates S-001 (hero), S-005 (AI teaser), and adds new sections."
I-028,Server-side Sanity-curated retailer filter for Shopping List Serper search,Idea (bundling with in-flight UK activation PR),Both,P1,S,"Owner curated retailer lists per region (US live, UK newly added) in Sanity specifically to drive the Shopping List search. Without server-side reading from Sanity, the curation effort and market research only affects the visible logo strip — not the actual products users see. This closes the loop on I-026: Sanity edits = browser-editable catalog = search results that reflect the catalog."
AI-031,AI Vision — Persist generated concepts across page reload until logout,Idea,Both,P1,M,"Owner feedback 2026-05-22 while debugging AI-030: 'when something is reloaded nothing is preserved from previous login… if the person is still inside the concept even the free user does not have a dashboard it should keep the session active until it logs out.' Real engagement leak — users lose work on accidental refresh, navigation, or browser crash. Compounds with the AI Vision low-resolution and aspect issues from AI-030 (re-running burns more quota)."
C-001,45-minute paid consultation — service product,Idea,Both,P1,M,Bridges AI Studio output → real-world project. Filters serious project clients from curiosity browsers. Revenue line that doesn't require subscription model.
M-001,Mobile UX audit,Idea,Both,P1,M,Lots of design discovery happens on phone.
P-005,Image SEO — alt text discipline + per-portfolio-project schema,Idea,Option 3,P1,M,"Image search is a major lead channel for portfolio sites. Without alt text discipline, the studio's renders are invisible to Google Images. Easy to do at build time, painful to retrofit."
S-006,Footer lead with designer credentials,Idea,Option 3,P1,S,Reinforces Option 3.
S-008,Bio/about prominence on home or about page,Idea,Option 3,P1,S,Humanizes the brand. Option 3 trust-building.
S-009,Copy audit — write headlines that survive both positions,Idea,Foundation,P1,M,Reduces editorial work at swap time.
SL-001,retailers.json — retailer DB foundation,Idea,Both,P1,M,"Without this, every new country requires editing code instead of adding rows. Foundational for tier differentiation, region routing, and the per-tier shop-pool differentiation in the pricing matrix."
SL-008,Shopping List — extend to Canada,Idea,Both,P1,M,"Canada is the easiest second market: same language, US retailer overlap (Wayfair, IKEA, Amazon all operate in CA with localized sites), no localization needed. Doubles Free-tier reach for ~10% of effort vs harder markets."
AI-032,"AI Studio onboarding diagnostic — ""Where do I start?""",Idea (planning - spec required),Both,P1,M,"Raises the value of every tool already built, which no 11th tool can do. Six tools exist and ten more are planned - adding another card to a screen nobody can navigate does not increase usage. Also answers a question the studio cannot currently answer at all: what do visitors actually believe their problem is? (Q2's distribution feeds GEO phrase selection.)"
AI-042,Add Farmhouse style. Chip in AI Vision AND a scorable arm of the Style Quiz,Idea,Both,P2,S,"High volume US style search, already planned as an article and a Pinterest board. The quiz cannot return a style it does not know, so farmhouse leaning visitors get labelled Rustic today."
B-003,Brand surface bg color — should cream stay primary or migrate to cooler/whiter palette?,Idea (decide before next big home/deliverables refresh),Both,P2,S,Brand surface choice is foundational. Cream is editorial and warm; white is clean and modern. The right answer depends on whether owner wants the studio aesthetic to read 'cozy editorial' or 'clean modern.' Worth a deliberate decision rather than ad-hoc per page.
I-015,EmailJS account audit — 'hello@designature.studio' ownership unknown,"Partial (access confirmed, hardening deferred)",Both,P2,S,"Recovery time bomb if hello@ is controlled externally (party could reset EmailJS anytime). Currently mitigated: Anahit has working access and Notifications go to her personal address, so any account-recovery email also reaches her. Full audit defer-able but not forever."
S-015,Build actual dropdown menu for AI Studio nav,Idea (refine),Both,P2,M,Surfaced 2026-05-01 by S-010 session: the original dropdown assumption was wrong — there's no menu today. Building one is its own design task. Adds discovery surface for AI tools without overloading any single CTA.
S-032,Rename /ai-concepts route to /ai-studio,Approved,Option 3,P2,S,Owner request 2026-05-01: route URL should match the renamed nav label (S-010). Better SEO + better UX. Today the nav says 'AI Studio' but URL still says /ai-concepts — minor mismatch worth fixing.
SL-002,Pre-search UI — shop logo strip + 'we'll source N items',Idea,Both,P2,M,Builds trust in the free-tier result quality (you can see where we look).
,,,,,,
Phase 2 — Deploy & Visibility   ·   8 open,,,,,,
ID,Title,Status,Strategy fit,Priority,Effort,Why
P-001,"SEO mechanical layer — sitemap, robots, canonical strategy",Idea,Option 3,P1,S,Required for crawlers + indexers to discover and parse the site correctly. Boring but foundational.
P-002,Image optimization audit,Idea,Both,P1,M,Portfolio-led site lives or dies by image performance.
S-018,"SEO Phase 2 — schema expansion (SoftwareApplication, Product, CreativeWork, Breadcrumb, FAQ)",Idea,Both,P1,M,Phase 1 (S-007) lands the foundations. Phase 2 is where rich results start appearing in SERPs. SoftwareApplication is the highest-leverage one — surfaces the AI tools globally for 'tools' searches.
S-019,SEO Phase 2 — server-side meta injection in server.ts,Idea,Option 3,P1,M,"SPA limitation: client-side meta works for Google (which now executes JS) but social crawlers don't run JS. If users share a /pricing link on WhatsApp, they should see Pricing OG, not Home OG."
SL-004,Better empty/error states,Idea,Both,P1,S,Free tier polish.
P-003,Core Web Vitals check + budget,Idea,Both,P2,M,SEO and conversion both correlate with CWV.
S-020,SEO Phase 2 — dynamic OG image generator (Cloudinary-driven),Idea,Both,P2,M,"Static OG images per page get stale; dynamic generation scales with content. Especially important for portfolio (a new project should auto-get an OG image, not require manual asset work)."
SL-003,Source-photo crop alongside each item,Idea,Both,P2,M,Bridges concept → product. Improves perceived match quality on free tier.
,,,,,,
Phase 3 — Real CMS / DB   ·   3 open,,,,,,
ID,Title,Status,Strategy fit,Priority,Effort,Why
A-003,Move marketing copy into Sanity,Idea,Foundation,P1,L,"At swap time, Option-2 copy is an editorial change, not a code change."
I-003,Sanity i18n — Armenian translations for content,Idea,Both,P1,M,Today UI has Armenian but Sanity content is EN only.
I-002,Data storage robustness — move user accounts off users.json (deferred),Idea (deferred),Both,P2,L,"users.json on Railway is fragile (redeploy can wipe; concurrent writes can clobber). Was previously P0 because billing webhooks would crash if user state was lost. With the new payments design (Postgres = source of truth for subscriptions; user.plan in users.json = cache restored on login), the billing system is now resilient to users.json being wiped — re-login re-creates the user record from Google OAuth and restores tier from Postgres. So this becomes a robustness item, not a critical-path blocker."
,,,,,,
Phase 4 — Paid Tiers   ·   14 open,,,,,,
ID,Title,Status,Strategy fit,Priority,Effort,Why
I-030,Rail A rewritten - Ameriabank vPOS recurring subscriptions,Idea (planning - spec required),Both,P0,L,"LS/Paddle/FastSpring all rejected the studio as ineligible. Only remaining path is direct-to-bank via Ameriabank vPOS recurring bindings. 4 decisions LOCKED (USD, no-trial, cancel-to-period-end, v1 = Full SaaS Design/Studio)."
I-031,Credit ledger & metering engine,Idea,Both,P0,L,The whole pricing model rests on this. Today quota is two hardcoded per-feature counters with a lifetime cap; the credit model needs one pool that any of 19 tools can draw on at different rates.
AI-003,Resolve TODO: Design tier slot count,Idea,Both,P1,S,Blocks shipping the Design tier.
I-032,Provider cost instrumentation — split Gemini counters + Serper cost-per-run,Idea,Both,P1,S,"Every credit price in the Tier Matrix is currently a MODELLED estimate, not a billed figure. R1 (the cost floor) is only as good as the numbers under it — and a wrong estimate on one card is exactly how Shop My Room ended up mispriced at 12 credits. Must land before anything is sold."
AI-041,Per-tool credit price map + cost-floor guard test,Idea,Both,P1,S,Stops the Shop-My-Room class of bug recurring. A credit price set below its cost floor is invisible in review and unbounded in production — a test is the only thing that catches it when someone adds a tool in a hurry.
I-033,Credit packs as one-time purchases on Ameriabank vPOS,Idea,Both,P1,M,Pay-once packs are the only paid product that can be BILLED today — Rail A subscriptions are still blocked after Lemon Squeezy and Paddle both rejected. vPOS one-time payments are shipped and working (I-025).
S-031,Rebuild /pricing on the credit model,Idea,Both,P1,M,"The live page sells Free / Design $19 / Studio $49, two of which cannot be bought and one of which gates three tools. The credit model removes feature-gating entirely — Free unlocks every tool and is limited by quantity — which also resolves the 'don't call the AI Studio free' framing problem."
AC-003,Project Folders (Studio only),Idea,Both,P2,L,Studio-tier exclusive feature. Differentiates $49 from $19.
AI-001,Design Brief — build real implementation,Idea,Both,P2,L,Currently a stub on the AI Studio grid.
AI-016,"AI Floorplan Generator — single-room layout (MVP) · ""Plan My Room""",Approved (spec locked 2026-08-24),Both,P2,XL,Phase 2 (Plan). The room-level optimization most apartment-dwellers actually need. Matches your physical Floor Plans deliverable. Differentiator vs every furnishing-only competitor.
SL-005,Visual matching — image embeddings re-rank (paid),Idea,Option 2,P2,XL,Visible quality gap drives Free → Paid upgrade.
