Order,ID,Title,Bucket,Description,Why,Strategy fit,Priority,Status,Effort,Phase,Dependencies,Notes,Date Added
1,I-028,Server-side Sanity-curated retailer filter for Shopping List Serper search,Infra/CMS,"Make the server-side Serper search restrict results to the active retailers Anahit curates in Sanity, instead of relying only on Googles gl= geo-targeting which returns ANY UK-shipping shop. Today (post I-026): Sanity holds the curated catalog but only feeds the frontend logo strip — the server still passes country code to Serper unfiltered, so Google decides what shops appear. Result: market-research effort to curate UK/US/etc. retailers in Sanity is wasted on the actual search. FIX: server fetches active retailers from Sanity at boot (cached ~5 min in-memory, refresh on cache miss), maps country code (us/gb/ca/...) → Sanity region tag (US/UK/Canada/...), filters retailers where regions includes that tag + active=true, builds a Serper  filter and appends to each search query. Fallback to retailers.ts bundled list if Sanity unreachable (same pattern as ProjectsContext fromSanity flag). DEPENDENCY: bundle with the UK activation work currently in flight — UK enablement is misleading without this (user picks UK, gets Google-curated UK shops, not Anahits curated UK list).","Owner curated retailer lists per region (US live, UK newly added) in Sanity specifically to drive the Shopping List search. Without server-side reading from Sanity, the curation effort and market research only affects the visible logo strip — not the actual products users see. This closes the loop on I-026: Sanity edits = browser-editable catalog = search results that reflect the catalog.",Both,P1,Idea (bundling with in-flight UK activation PR),S,1,"I-026, UK activation PR","Owner-initiated 2026-06-25 after gap surfaced during the UK activation impl session: discovered Serper gl=gb only does geo-targeting, not retailer restriction. Recommendation: bundle with the in-flight UK PR rather than separate ticket — UK enablement without curated-search is misleading UX. Server fetches active Sanity retailers, builds  filter from their domains, applies to Serper query. ~2-3h impl. Same fallback pattern as ProjectsContext (retailers.ts bundled list when Sanity unreachable). Test: select UK, search for chair, confirm results domains are subset of UK retailers in Sanity.",2026-06-25
1,I-024,Phase 1 / B0 — Payments foundation: Railway Postgres + Resend + tables,Infra/CMS,"Shared infrastructure both rails build on. Install pg (no ORM, match project style); create db/pgPool.ts; idempotent CREATE TABLE IF NOT EXISTS at server boot for orders + subscriptions + usage_events tables. Install resend; create lib/email.ts with sendEmail({to,subject,html}) sending from hello@designature.studio. No business logic.",Both Rail A (Lemon Squeezy subscriptions) and Rail B (VPOS consultation) need durable transactional storage (Postgres) + server-side transactional email (Resend). users.json is fragile on Railway and unsuitable for billing webhooks. EmailJS is client-side; payment confirmations must send from the server after status verification.,Both,P0,Done (in production),S,4,,"Manual prereqs owner does BEFORE running: (1) provision Railway Postgres add-on → DATABASE_URL into env; (2) sign up Resend, verify designature.studio domain → RESEND_API_KEY into env. Full B0 prompt in _Memory/2026-05-30-payments-architecture-locked.md. Foundation for I-004 (Rail A) AND I-025 (Rail B shell).",2026-07-05
2,I-004,Phase 2 / Rail A — Lemon Squeezy subscriptions + plan gating,Infra/CMS,"End-to-end Lemon Squeezy subscription rail: /pricing Subscribe buttons → POST /api/subscriptions/checkout (LS hosted checkout) → POST /api/webhooks/lemonsqueezy (HMAC-SHA256 verify, 5 subscription_* events) → writes subscriptions table + updates user.plan cache. /account/subscription page + /api/subscriptions/portal for self-serve manage. Plan gating (formerly I-005, folded in): per-tier quotas in src/data/planQuotas.ts, server-side enforcement on all AI endpoints, on-read quota reset computed from subscription.current_period_start (no cron). Tier badge in header, upgrade prompts on quota hit. Builds against B0's pg pool + subscriptions table + sendEmail helper.",Revenue rail. Ships to prod in LS Test Mode immediately; flip Railway env to Live keys the day LS approves identity (1–3 days). I-002 is NO LONGER a blocker — new Postgres-as-source-of-truth design (subscription table durable; users.json is a cache restored on login).,Both,P0,Dropped - LS/Paddle rejected. Superseded by I-030 (Ameria recurring),L,4,I-024,"Full implementation prompt (A1) in _Memory/2026-05-30-payments-architecture-locked.md. All LS env vars already in E:/Secrets/Website/.env (Test Mode). Pricing locked: Design $19/mo / $190/yr · Studio $49/mo / $490/yr (2 months free on annual). I-005 folded in — tightly coupled with checkout/webhook, no point separating.

[2026-07-12] DROPPED 2026-07-12: LemonSqueezy + Paddle + FastSpring all rejected the studio. Rail A is being rebuilt on Ameriabank vPOS card bindings (recurring) - see I-030 + _Plan/Website/Website-Subscriptions-Plan.md.",2026-05-30
3,I-025,Phase 3 / Rail B — VPOS consultation booking shell ($99 one-time),Infra/CMS,"Guest-checkout $99 virtual consultation via Ameriabank VPOS. Pay-first → on success, confirmation email contains a PRIVATE Calendly link for slot booking (Meet link auto-generated). New /consultation route with form, POST /api/payments/ameria/initiate (creates pending orders row, redirects to ipay.arca.am), GET /api/payments/ameria/callback (SOAP-verifies status, marks paid, sends Resend email with Calendly link), /booking/confirmed + /booking/failed pages. Admin refund endpoint reuses admin_session gate. Daily reconciliation cron lower-priority follow-up.","Standalone one-time-payment rail for the studio's paid consultation product. Independent of Rail A (no user migration, no subscriptions table touch). The whole shell is buildable now — only TWO calls (VPOS InitPayment + SOAP PaymentDetails verify) wait on Ameriabank's integration PDF. A dev-only force-callback path lets us end-to-end-test the email + redirect + DB flow without the bank.",Both,P0,Done (in production),M,4,I-024,Bank-blocked on 2 specific calls (marked `// >>> TODO(bank PDF):` in the B1 prompt). Owner emailed Ameriabank 2026-05-30 (in Armenian) requesting sandbox creds + integration PDF + test cards + callback-URL update. Live VPOS creds in E:/Secrets/Website/.env. Full B1 prompt in _Memory/2026-05-30-payments-architecture-locked.md. PR sits awaiting bank reply for the 2 TODO fills; non-bank parts ship-ready.,2026-07-05
4,AI-024,Shopping List — UI refinement (logged-out + logged-in),AI Studio,"Refine both states. Logged-out: explain the value (shop any interior, even non-AI photos), tier framing ('Free · 3 shopping lists · PDF included'), sign-in CTA. Logged-in: two-column choice (Option A shop AI concept · Option B upload any interior), country selector, search source banner, results, PDF download (currently locked). Apply VF-002 patterns; preserve the locked Shopping List internals unless explicitly unlocked.",Shopping List is the most-used live card and currently the most visually dense. Even pattern-application without internal redesign will improve it materially.,Both,P1,Done (in production),M,1,VF-002,"REQUIRES UNLOCK: Shopping List layout is locked per project_overview.md (branch claude/goofy-chatterjee) — two-column layout, country selector, source banner, 'Before you buy' warning, items grid, PDF download. Owner approval required before any internal change. Wrapper / preview / sign-in panel can be touched without unlock. | Marked Done 2026-06-25 by owner confirmation in planning session.",2026-06-25
5,AI-025,Room Audit — UI refinement (logged-out + logged-in),AI Studio,"Refine both states. Logged-out: explain scoring methodology + example output, tier framing ('Design+ tier · 3 audits/mo'), sign-in CTA pointing to upgrade flow (since Room Audit is paid-only per owner decision 2026-05-04). Logged-in (paid users): upload room photo, see scored breakdown by design metrics, recommendations. Apply VF-002 patterns.","Room Audit is unique — it's analytical, not generative. UI should reflect that (data viz, not just images). Stays Studio-tier-funnel (paid-only); not a free funnel like the other 3 live cards.",Both,P1,Done (in production),M,1,VF-002,"Less locked than other 3 cards (no explicit lock in project_overview.md). Coordinated with AI-004 originally — but AI-004 was dropped 2026-05-04 (Room Audit stays paid-only). Logged-out state is mostly upgrade-prompt + value-explanation, not a free trial. | Marked Done 2026-06-25 by owner confirmation in planning session.",2026-06-25
6,S-014,Build /deliverables page — visual preview of project deliverables,Strategy,"Dedicated route /deliverables (or /what-you-receive — final URL TBD). Destination for 'See what you'll receive →' CTAs (currently in S-013 'How it works' section, can also appear in /services, /pricing, footer). HYBRID structure: each deliverable category has its own section with preview thumbnail + plain category name + one-line description + 'View' + 'Download' buttons. Bundled 'Download everything as one PDF' option in footer band. CATEGORIES (at least 8 — full list to be confirmed): Mood Boards, 3D Renders, Floor Plans, Design Concept, Technical Drawings, Shopping List, Installation Guides, 3D Walkthroughs (Interior + Exterior video). ASSET LIBRARY: curated set at E:\Business\Claude\Website\samples (English versions, ~7 files prepared); broader source at E:\Business\Projects\_Supporting_Files\Sample Files (includes All-In-One.pdf already prepared, plus AM versions). UX REQUIREMENT (owner): visitor must understand what each deliverable IS and WHO it's for, so they can decide which ones to download — homeowner wants moodboards + shopping list, contractor wants technical drawings, etc. PLAIN COPY (no poetic patterns) — clean category names, one-line descriptions. Detailed scoping deferred to dedicated session — owner wants to address this 'more carefully' rather than over-defining now.",The credibility piece for Option 3. Showing 8 distinct deliverable categories tells visitors 'this studio delivers a LOT' — bigger impact than a single consolidated brochure. Existing live site has these scattered; this consolidates + redesigns.,Option 3,P1,Done (in production),M,1,S-013,"SHIPPED 2026-08-21 — PR #88 (squash 340f860), live at /deliverables. Built from the approved mockup WEBSITE-PLAN-S014-deliverables-mockup.html. Four phase bands (Brief+Concept / AI Concept / Renders / Technical), AI-vs-studio comparison table, 5 sample PDF downloads on Cloudinary (fl_attachment), 8-question FAQ with FAQPage JSON-LD, sitemap entry. NOT a nav tab per owner — reached from the home 'See what you'll receive →' CTA. Sample PDFs redacted of client data before publishing (client name, project names). Comparison table carries a hard sync rule: every future AI-XXX card must update its row in the same PR.",2026-06-16
8,I-002,Data storage robustness — move user accounts off users.json (deferred),Infra/CMS,"Migrate users from users.json to a durable DB. Original plan: Sanity. Updated 2026-05-30: most likely Railway Postgres (same instance as billing tables) for consistency, but no longer urgent — see status change below.","users.json on Railway is fragile (redeploy can wipe; concurrent writes can clobber). Was previously P0 because billing webhooks would crash if user state was lost. With the new payments design (Postgres = source of truth for subscriptions; user.plan in users.json = cache restored on login), the billing system is now resilient to users.json being wiped — re-login re-creates the user record from Google OAuth and restores tier from Postgres. So this becomes a robustness item, not a critical-path blocker.",Both,P2,Idea (deferred),L,3,,"DEMOTED FROM P0 → P2 on 2026-05-30 — no longer blocks I-004 (Rail A Lemon Squeezy). New design: Postgres subscriptions table is durable source of truth; users.json is just a cache populated/restored on each Google login. If users.json is wiped on redeploy, re-login restores tier from Postgres. Original framing in WEBSITE-PLAN-measurement-payments-roadmap.md (Track B, B.1) is superseded.",2026-05-30
9,S-004,Studio page — write the designer story,Strategy,"Build the /studio page content: who Anahit is, philosophy, process, signature aesthetics. Photos. Real bio.",Currently a placeholder. The credibility heart of Option 3 is missing.,Option 3,P0,Done (in production),M,1,,Source content from owner. · Shipped PR #70,2026-06-16
10,B-002,PDF interior rebrand — yellow → cobalt across deliverable PDFs,Visual/Feel,"DEFERRED 2026-05-05. The 4 PDF deliverables (Design Concept, Technical Drawings, Shopping List, Installation Guides — each EN + AM) currently have the legacy neon-yellow brand color in their interiors (headers, dividers, callouts, accents). The /deliverables page covers (B-001) are cobalt-branded, but the PDFs themselves are inconsistent. Acceptable for v1 since covers carry the page's first impression; PDFs are downloaded separately. Plan to do a full rebrand pass when source files are gathered (Canva, InDesign, Word — TBD which tool was used for each) OR rebuild PDFs from HTML/CSS templates that bake in the cobalt brand at the source.",Brand consistency between page and downloads. Lower priority because covers already cobalt; affects only users who download + open PDFs.,Both,P2,Done,M,Future,B-001,"DONE — confirmed 2026-08-21 by owner. The deliverable PDFs no longer carry the legacy neon-yellow interior; verified by pixel scan across the current Sample Files package (Phase 1-2, Phase 3 AI Concept, Phase 3 Renders, Phase 4 Technical, All-in-One EN + Dream House AM): neon-yellow share is 0.000-0.001%. Rebranded outside the website workstream when the current sample set was produced. NOTE: the accent landed on the brand terracotta (#9E5E41, per the 2026-06-21 logo lock), not the cobalt this item originally proposed.",2026-06-16
