Name,URL,HQ / Region,Category,Closeness (1-5),Status,What it is,Pricing (2026),Covers,Does NOT cover / gaps
Havenly,havenly.com,"Denver, US",Hybrid AI+Human e-design,5,Active,Category leader: free AI + style quiz front end + paid human designer packages + owned furniture brands + 13 stores,"Online ~$199/room; In-Person $699 first room +$199/add'l; frequent 50% promos (~$99); free AI/quiz","Human designer 1:1, concepts+revisions, single-checkout shopping list, floor plans, AI tool, trade discounts (owns Interior Define/The Citizenry/The Expert), physical stores","No true $19/$49 micro-tiers; steers to house brands; renders weaker than old Modsy"
Decorilla,decorilla.com,"New York, US (Spain 2025)",Hybrid AI+Human e-design,5,Active,Premium human-led online design, two competing designer concepts, AI+VR assist; launched Spain Sept 2025 (Europe push),"From ~$299; full-room ~$539–$1,499/room; hourly $119–$500","2 designers' concepts, custom 3D + floor plan + palette, shopping list w/ up to 45% trade discount + ordering concierge, worldwide remote","No free/low self-serve AI tier; expensive entry; slow/high-touch; no local AM/RU language"
Spacejoy,spacejoy.com,US (India R&D),Hybrid AI+Human e-design,4,Active,1:1 US designer packages built around photorealistic shoppable 3D renders,"~$499–$999/room (Delight/Bliss/Euphoria); entry ~$299","Human designer, photorealistic 3D each package, multi-brand curated shopping list (concept-to-cart), 7–10 day turnaround","No free AI tier; no instant AI; no AR; pricier per room"
The Expert,theexpert.com,US,Hybrid AI+Human e-design,3,Acquired (Havenly Feb 2026),Marketplace of A-list/celebrity designers for paid 1:1 video consults + designer showroom,"Consultations $200–$3,600 by designer/length","Live expert video consult, curated designers, furniture showroom, AI sourcing chatbot being added, trade tools","Very expensive/aspirational; consult-only, not managed packages; no free tier"
Yardzen,yardzen.com,US,Hybrid AI+Human e-design (outdoor),2,Active,Online outdoor/landscape design w/ contractor-match build arm,"~$295–$3,495; revisions $295 each","Human designer, 2D CAD, planting/material lists, photorealistic + night renders, contractor matching","Outdoor only; no free AI; pricey; revisions extra"
Michael Helwig Interiors,michaelhelwiginteriors.com,"Buffalo, US",Hybrid AI+Human e-design,3,Active,Representative boutique solo e-designer; flat-fee virtual room plans (long tail of indies),"Flat fees ~$100s per service","Human 1:1, floor plans, sourcing, install coaching","No AI self-serve; no 3D; solo capacity; small-space niche"
Nousdecor,nousdecor.com,"San Mateo, US",Hybrid AI+Human e-design,3,Likely defunct/dormant,Early flat-fee online interior design platform,No reliable 2026 pricing,"(historically) human designer, flat-fee, mood-board tool","No signs of active operation; likely dormant"
Modsy,modsy.com,"San Francisco, US",Shop-the-look (precedent),0,DEFUNCT (Jul 2022),Original AI/3D-render + human designer, shoppable — the archetype of Designature's model,"(historic) ~$69–$159/room","3D renders, human designer, shoppable list","DEAD — died on render costs / human-design margins. Cautionary tale"
Decorist,decorist.com,"San Francisco, US",Hybrid e-design (precedent),0,DEFUNCT (Sep 2022),Affordable flat-fee online design (owned by Bed Bath & Beyond),"(historic) ~$299–$1,299/room","Human designer packages, shopping list","DEAD — collapsed with parent Bed Bath & Beyond"
Laurel & Wolf,(dead),"Los Angeles, US",Hybrid e-design (precedent),0,DEFUNCT (~2019),Original flat-fee online design marketplace,(historic) flat-fee/room,"Designer marketplace, flat-fee packages","DEAD — marketing overspend + quality problems"
Homepolish,(dead),"New York, US",Hybrid e-design (precedent),0,DEFUNCT (2019),Designer-matching service (~$100M valuation),(historic) hourly/project,"Designer matching","DEAD — never built operational infrastructure"
West Elm Design Crew,westelm.com,US,Furniture retailer free design,2,Active,Free human design help monetized via furniture sales,Free,"Human expert (virtual/in-store/in-home 60mi), mood boards, room plans, product recs, estimates","West Elm catalog only; no AI self-serve; no independent list"
Room & Board Design Services,roomandboard.com,US,Furniture retailer free design,2,Active,Free non-commissioned human design experts,Free,"Human experts (in-store/virtual/phone), floor plans, 3D renders, product recs","R&B product only; no AI; no free self-serve tool"
Crate & Barrel Design Desk,crateandbarrel.com,US,Furniture retailer free design,2,Active,Free human stylists w/ 3D renders,Free (promo windows),"Human stylists, 3D renders, floor plan, C&B shopping list, any room","C&B catalog-bound; no AI self-serve"
CB2 Design Services,cb2.com,US,Furniture retailer free design,2,Active,Free human design consultants,Free,"Consultants (virtual/in-store), free 3D renders, mood boards, floor plans, CB2 lists","CB2 product only; no AI self-serve"
Pottery Barn Design Crew,potterybarn.com,US,Furniture retailer free design,2,Active,Free human experts + self-serve Room Planner tool,Free,"Human experts, mood boards, floor plans, product recs, DIY Room Planner (drag-drop shoppable)","PB/Williams-Sonoma catalog; Room Planner is config not generative AI"
Ethan Allen Free Design,ethanallen.com,US,Furniture retailer free design,2,Active,Complimentary professional designers at 300+ centers,Free,"Designers (in-home/in-center/video/chat), whole-home","Ethan Allen product-centric; no AI; higher-end"
Bassett HGTV Home Design Studio,bassettfurniture.com,US,Furniture retailer free design,2,Active,Free Bassett designer consult (virtual + in-home),Free consult,"Bassett designer 1:1, room planning","Bassett product-bound; no AI; some studios closing"
Houzz Pro (formerly Ivy),houzz.com/pro,"Palo Alto, US",Pro/CAD software w/ AI,1,Active,SaaS for interior-design professionals (CRM/proposals/3D/portal),"~$249/mo (1 seat) +$60/seat; ads from $499/mo; 12-mo min","Project mgmt, 3D floor plans, sourcing, client portal, AI creeping in","B2B — not a consumer purchase; no consumer AI self-serve"
Houzz (consumer app),houzz.com,"Palo Alto, US",Mobile AI design app / marketplace,3,Active,Home-design inspiration marketplace + pro directory + AR shopping,Free (monetizes sales + Pro subs),"Massive idea library, View-in-My-Room 3D AR for 1M+ products, hire pros, community","Limited generative AI; human = referral not in-app consult; no single AI shoppable list"
Interior Define,havenly.com,US,Furniture brand (adjacent),1,Acquired (Havenly),Custom-furniture DTC brand (now a product line),Product pricing,"Custom sofas/sectionals","Not an e-design competitor; furniture brand in Havenly ecosystem"
